"","sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"3405","radon","Štúrovo","Bln-558",6170,100,"späte LBK (mittlere Phase der Zeliezovce-Gruppe)","Linienbandkeramik","EN",18.7175,47.794947,NA,-5106.48391391339,-4699,-5476
"3406","calpal","Stúrovo","Bln-559",6260,100,"Neolithic","LBK","EN",18.7333,47.8,NA,-5212.00780661187,-4785,-5606
"3407","radon","Friedberg","Bln-56",6120,100,"älteste LBK, entwickelte Phase","Linienbandkeramik","EN",8.7620555555555,50.330288888889,NA,-5048.66258608086,-4610,-5471
"3408","calpal","Aşağı Pınar","Bln-5699",6669,38,"Neolithic",NA,"UN",27.2167,41.683,NA,-5583.22041587245,-5476,-5725
"3409","radon","Žopy","Bln-57",6430,100,"älteste LBK","Linienbandkeramik","EN",17.609372,49.332642,NA,-5391.1873973065,-4990,-5709
"3410","calpal","Aşağı Pınar","Bln-5700",6663,34,"Neolithic",NA,"UN",27.2167,41.683,NA,-5581.58353336024,-5477,-5719
"3411","calpal","Aşağı Pınar","Bln-5701",6769,36,"Neolithic",NA,"UN",27.2167,41.683,NA,-5670.92820357061,-5554,-5796
"3412","calpal","Aşağı Pınar","Bln-5702",6717,39,"Neolithic",NA,"UN",27.2167,41.683,NA,-5634.33447866403,-5480,-5741
"3413","radon","Mold","Bln-58",5990,160,"mittlere LBK","Linienbandkeramik","EN",15.700750350952,48.642267155431,NA,-4890.11176662954,-4333,-5476
"3414","radon","Deszk-Olajkut","Bln-581",6605,100,NA,"Starcevo-Körös-Criș culture","EN",20.25,46.216667,NA,-5543.45088755763,-5213,-5876
"3415","radon","Deszk-Olajkut","Bln-582",6325,100,NA,"Starcevo-Körös-Criș culture","EN",20.25,46.216667,NA,-5286.28742525798,-4840,-5621
"3416","calpal","Deszk-Olajkút","Bln-582a",6390,100,"Neolithic","Vinča","EN",20.25,46.2167,NA,-5355.49092683294,-4936,-5654
"3417","radon","Deszk-Olajkut","Bln-583",6410,120,NA,"Starcevo-Körös-Criș culture","EN",20.25,46.216667,NA,-5368.63518604996,-4846,-5723
"3418","radon","Deszk-Olajkut","Bln-584",6540,100,NA,"Starcevo-Körös-Criș culture","EN",20.25,46.216667,NA,-5492.90182999056,-5069,-5756
"3419","bda","Soroki II","Bln-587",7420,80,"Mésolithique 2","Grebeniki","LM",28.968,47.837,NA,-6289.47725269895,-5995,-6565
"3420","bda","Soroki II","Bln-588",7515,120,"Mésolithique 2","Grebeniki","LM",28.968,47.837,NA,-6356.74207582934,-5984,-6820
