period	culture	class
Mésolithique 1	Mésolithique insulaire	
Mésolithique 2 / Néolithique ancien	MR_NA	
Mésolithique 1	Muescas y Denticulados (MMD)	
Mésolithique 2	Fase geométrica B	lm
Mésolithique 2	Fase geométrica A	lm
Epipaléolithique	microlaminar	
Mésolithique 1	Asturien	
Mésolithique 2 / Néolithique ancien	M2/NA	
Mésolithique		
Mésolithique 2	Fase geométrica C	lm
Néolithique		
Néolithique	NTC	
Mésolithique 2	Sidarian Maritime Mesolithic	lm
Mésolithique 1	Faciès de tradition épigravettienne	
Mésolithique 1	Epipaléolithique indifférencié	
Mésolithique 2	Gildasien	lm
Néolithique ancien		en
Mésolithique 2	Téviecien	lm
Mésolithique 2	Retzien	lm
Mésolithique 2	Tardenoisien	lm
Néolithique ancien	Epicardial	en
	Upper Capsian, Neolithic	
	Upper Capsian, Neolithic of Capsian Tradition Atlas variety	
Néolithique ancien	Acéramique	en
Néolithique ancien	Ceramica Impressa	en
Néolithique ancien	Epicardial ancien	en
Mésolithique 1	Beuronien	
Néolithique ancien	Cardial	en
Néolithique ancien	Cardial récent	en
Néolithique ancien	NAV	en
Néolithique ancien	NAR	en
Néolithique ancien	Cardial / Epicardial	en
Paléolithique supérieur		
Epipaléolithique		
Epipaléolithique	Azilien	
Mésolithique 2	Beuronien	lm
Néolithique ancien	NA-NM	en
Paléolithique supérieur	Magdalénien	
Néolithique ancien	Cardial ancien	en
Néolithique ancien	Rubané ancien	en
Epipaléolithique	Laborien	
Néolithique ancien	Péricardial	en
Néolithique ancien	Cardial thyrrénien	en
Néolithique ancien	Swifterbant	en
Néolithique ancien	Vhò	en
Néolithique ancien	Fagnigola	en
Néolithique ancien	Sammardenchia	en
Mésolithique 1	Montadien	
Néolithique ancien	Fiorano	en
Néolithique ancien	Gaban	en
indéterminé		
Néolithique ancien	Vlaska	en
Néolithique ancien	Isolino	en
Néolithique ancien	PPNB	en
Néolithique ancien	PPNB ancien	en
Néolithique ancien	Monochrome	en
Néolithique ancien	PPNB moyen	en
Néolithique ancien	PPNB récent	en
Neolithic	PPNC	en
Néolithique ancien	PPNC	en
Neolithic	PPNC/Yarmoukian	en
Néolithique ancien	Epicardial récent	en
Néolithique ancien	Céramique linéaire	en
Néolithique ancien	Néolithique IA	en
Néolithique ancien	Néolithique IB	en
Néolithique ancien	Khirokithia	en
Epipaléolithique	Natoufien	
Néolithique ancien	Cultura de las Cuevas	en
Néolithique ancien	Protosesklo	en
Néolithique ancien	Starčevo/Cris/Körös	en
Epipaléolithique	Kébarien géométrique	
Néolithique ancien	NACA	en
Néolithique ancien	Roucadourien	en
Néolithique ancien	Catignano	en
Néolithique ancien	Cardial thyrrénien / Céramique linéaire	en
Mésolithique	Mléfatien	
Mésolithique 1	Muescas y Denticulados (MMD) ou Sauveterrien	
Néolithique ancien	Alba	en
Néolithique ancien	Stentinello	en
Epipaléolithique	Epigravettien	
indéterminé	mélanges Néo-Meso	
Néolithique ancien	Sasso	en
Neolithic	PPNC?	
Néolithique ancien	Hoguette	en
Néolithique ancien	Cardial marocain	en
